Land Area,County Name
20056.92,San Bernardino  County
10180.87,Inyo County
8131.91,Kern County
7206.47,Riverside County
6277.88,Siskiyou County
5957.99,Fresno County
4824.21,Tulare County
4541.18,Lassen County
4206.63,San Diego County
4176.6,Imperial County
4057.88,Los Angeles County
3917.77,Modoc County
3775.4,Shasta County
3567.98,Humboldt County
3506.34,Mendocino County
3298.56,San Luis Obispo County
3280.59,Monterey County
3179.25,Trinity County
3048.98,Mono County
2949.71,Tehama County
2735.08,Santa Barbara County
2553.04,Plumas County
2220.88,Tuolumne County
2137.07,Madera County
1934.97,Merced County
1843.13,Ventura County
1707.88,El Dorado County
1636.46,Butte County
1575.85,Sonoma County
1494.83,Stanislaus County
1448.82,Mariposa County
1407.01,Placer County
1391.32,San Joaquin County
1389.42,Kings County
1388.71,San Benito County
1313.95,Glenn County
1290.1,Santa Clara County
1256.46,Lake County
1150.73,Colusa County
1020.01,Calaveras County
1014.69,Yolo County
1006.37,Del Norte County
964.64,Sacramento County
957.77,Nevada County
953.21,Sierra County
821.76,Solano County
790.57,Orange County
748.36,Napa County
739.02,Alameda County
738.33,Alpine County
715.94,Contra Costa County
631.84,Yuba County
602.41,Sutter County
594.58,Amador County
520.31,Marin County
448.41,San Mateo County
445.17,Santa Cruz County
46.87,San Francisco County